Fylkesnr. 2019,Fylkesnavn 2019,Kommunenr. 2019,Kommunenavn 2019,Fylkesnr. 2020,Fylkesnavn 2020,Kommunenr. 2020,Kommunenavn 2020
01,ØSTFOLD,0101,HALDEN,30,VIKEN,3001,HALDEN
01,ØSTFOLD,0104,MOSS,30,VIKEN,3002,MOSS
01,ØSTFOLD,0105,SARPSBORG,30,VIKEN,3003,SARPSBORG
01,ØSTFOLD,0106,FREDRIKSTAD,30,VIKEN,3004,FREDRIKSTAD
01,ØSTFOLD,0111,HVALER,30,VIKEN,3011,HVALER
01,ØSTFOLD,0118,AREMARK,30,VIKEN,3012,AREMARK
01,ØSTFOLD,0119,MARKER,30,VIKEN,3013,MARKER
01,ØSTFOLD,0121,RØMSKOG,30,VIKEN,3026,AURSKOG-HØLAND
01,ØSTFOLD,0122,TRØGSTAD,30,VIKEN,3014,INDRE ØSTFOLD
01,ØSTFOLD,0123,SPYDEBERG,30,VIKEN,3014,INDRE ØSTFOLD
01,ØSTFOLD,0124,ASKIM,30,VIKEN,3014,INDRE ØSTFOLD
01,ØSTFOLD,0125,EIDSBERG,30,VIKEN,3014,INDRE ØSTFOLD
01,ØSTFOLD,0127,SKIPTVET,30,VIKEN,3015,SKIPTVET
01,ØSTFOLD,0128,RAKKESTAD,30,VIKEN,3016,RAKKESTAD
01,ØSTFOLD,0135,RÅDE,30,VIKEN,3017,RÅDE
01,ØSTFOLD,0136,RYGGE,30,VIKEN,3002,MOSS
01,ØSTFOLD,0137,VÅLER (ØSTF.),30,VIKEN,3018,VÅLER (VIKEN)
01,ØSTFOLD,0138,HOBØL,30,VIKEN,3014,INDRE ØSTFOLD
02,AKERSHUS,0211,VESTBY,30,VIKEN,3019,VESTBY
02,AKERSHUS,0213,SKI,30,VIKEN,3020,NORDRE FOLLO
02,AKERSHUS,0214,ÅS,30,VIKEN,3021,ÅS
02,AKERSHUS,0215,FROGN,30,VIKEN,3022,FROGN
02,AKERSHUS,0216,NESODDEN,30,VIKEN,3023,NESODDEN
02,AKERSHUS,0217,OPPEGÅRD,30,VIKEN,3020,NORDRE FOLLO
